Apr  9 04:00:00 VPX-13 newsyslog[72292]: logfile turned over due to size>100K
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default SNMP TRAP_SENT 0 0 :  netScalerConfigChange (nsUserName = "nsroot", configurationCmd = "rm ns extension weeknumofyear", authorizationStatus = authorized, commandExecutionStatus = successful, nsClientIPAddr = 192.168.1.130, nsPartitionName = default)  
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87942 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension -detail all" - Status "Success" 
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87943 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87944 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension -detail all" - Status "Success" 
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87945 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "shell" - Status "Success" 
Apr  9 04:13:34 <local0.info> 192.168.101.5 04/09/2021:04:13:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87946 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns hostName" - Status "Success" 
Apr  9 04:13:35 <local0.info> 192.168.101.5 04/09/2021:04:13:35 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87947 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns license" - Status "Success" 
Apr  9 04:13:35 <local0.info> 192.168.101.5 04/09/2021:04:13:35 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87948 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns hardware" - Status "Success" 
Apr  9 04:13:35 <local0.info> 192.168.101.5 04/09/2021:04:13:35 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87949 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns config" - Status "Success" 
Apr  9 04:13:35 <local0.info> 192.168.101.5 04/09/2021:04:13:35 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87950 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:13:35 <local0.info> 192.168.101.5 04/09/2021:04:13:35 GMT VPX-13 0-PPE-0 : default GUI CMD_EXECUTED 87951 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "show ns extension" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87952 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87953 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "shell" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87954 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87955 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns license" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87956 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cluster node" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87957 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cluster instance" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87958 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns version" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87959 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns ip -type NSIP" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87960 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns ip6" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87961 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns ip -type SNIP" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87962 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "shell" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87963 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show HA node" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87964 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show route" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87965 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show route6" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87966 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns license" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87967 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appflow param" - Status "Success" 
Apr  9 04:13:36 <local0.info> 192.168.101.5 04/09/2021:04:13:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87968 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show snmp mib" - Status "Success" 
Apr  9 04:13:37 <local0.info> 192.168.101.5 04/09/2021:04:13:37 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87973 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "logout" - Status "Success" 
Apr  9 04:13:37 <local0.info> 192.168.101.5 04/09/2021:04:13:37 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 87974 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns partition" - Status "Success" 
Apr  9 04:13:37 <local0.info> 192.168.101.5 04/09/2021:04:13:37 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87977 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:13:37 <local0.info> 192.168.101.5 04/09/2021:04:13:37 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 87984 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "scp -pf '/var/nsconf_tmp.tgz'" - Status "Success" 
Apr  9 04:13:47 <local0.info> 192.168.101.5 04/09/2021:04:13:47 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76151 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:14:01 <local0.info> 192.168.101.5 04/09/2021:04:14:01 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88007 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:14:15 <local0.info> 192.168.101.5 04/09/2021:04:14:15 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 88013 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:14:15 <local0.info> 192.168.101.5 04/09/2021:04:14:15 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88018 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-0 : default AAA Message 88025 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x6, otp=<0>" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-0 : default AAA Message 88026 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<0> max attempts=<0>, lock duration=<1>" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-1 : default AAA Message 76190 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x6, otp=<0>" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-1 : default AAA Message 76191 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<0> max attempts=<0>, lock duration=<1>" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 88027 0 :  User nsroot - Remote_ip  - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:14:26 <local0.info> 192.168.101.5 04/09/2021:04:14:26 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 88028 0 :  User nsroot - Remote_ip  - Command "sftp-server" - Status "Success" 
Apr  9 04:14:27 <local0.info> 192.168.101.5 04/09/2021:04:14:27 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88029 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appflow policy" - Status "Success" 
Apr  9 04:14:27 <local0.info> 192.168.101.5 04/09/2021:04:14:27 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88030 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appfw policy" - Status "Success" 
Apr  9 04:14:28 <local0.info> 192.168.101.5 04/09/2021:04:14:28 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88031 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show bot policy" - Status "ERROR: Feature(s) not enabled" 
Apr  9 04:14:28 <local0.info> 192.168.101.5 04/09/2021:04:14:28 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88032 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show bot profile" - Status "Success" 
Apr  9 04:14:28 <local0.info> 192.168.101.5 04/09/2021:04:14:28 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88033 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show responder policy" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88034 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ssl policy" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88035 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appflow collector" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76193 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88037 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appflow action" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88038 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show analytics profile" - Status "Success" 
Apr  9 04:14:29 <local0.info> 192.168.101.5 04/09/2021:04:14:29 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88039 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appfw profile" - Status "Success" 
Apr  9 04:14:30 <local0.info> 192.168.101.5 04/09/2021:04:14:30 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88040 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ssl profile" - Status "Success" 
Apr  9 04:14:30 <local0.info> 192.168.101.5 04/09/2021:04:14:30 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88041 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ssl vserver" - Status "Success" 
Apr  9 04:14:30 <local0.info> 192.168.101.5 04/09/2021:04:14:30 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88042 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show appfw settings" - Status "Success" 
Apr  9 04:14:30 <local0.info> 192.168.101.5 04/09/2021:04:14:30 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76194 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns runningConfig" - Status "Success" 
Apr  9 04:14:33 <local0.info> 192.168.101.5 04/09/2021:04:14:33 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88044 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy Global_IP_Reputation" - Status "ERROR: No such policy exists" 
Apr  9 04:14:33 <local0.info> 192.168.101.5 04/09/2021:04:14:33 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88045 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy CSV_SSL_Simplification_pol" - Status "Success" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88046 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy ADFS_Proxy_Passive_pol" - Status "Success" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88047 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy ADFS_Proxy_Internal_pol" - Status "Success" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88048 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy ADFS_Proxy_NoAuth_pol" - Status "Success" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88049 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy Nike_Path_Replace_act" - Status "ERROR: No such policy exists" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88050 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy le-responder-pol" - Status "ERROR: No such policy exists" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88051 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy Test_Policy_Extension_pol" - Status "ERROR: No such policy exists" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88052 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy POST-To-GET-Test_pol" - Status "Success" 
Apr  9 04:14:34 <local0.info> 192.168.101.5 04/09/2021:04:14:34 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88053 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs policy CSV_HTTP_Simplification_pol" - Status "Success" 
Apr  9 04:14:35 <local0.info> 192.168.101.5 04/09/2021:04:14:35 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88054 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns version" - Status "Success" 
Apr  9 04:14:35 <local0.info> 192.168.101.5 04/09/2021:04:14:35 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88055 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show lb vserver" - Status "Success" 
Apr  9 04:14:35 <local0.info> 192.168.101.5 04/09/2021:04:14:35 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88056 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show interface" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88057 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show server" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88058 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show service" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88059 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88060 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_dns-udp_53_marigold.local" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88061 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_HTTP_ITM_API" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88062 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_HTTP_80_CVAD" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88063 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_SSL_BRIDGE_444_CVAD" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88064 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_HTTPS_443_CVAD" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88065 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_ldap_ssl_tcp_636" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88066 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_dns-tcp_53_marigold.local" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88067 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_HTTPS_443_CRL-Refresh" - Status "Success" 
Apr  9 04:14:36 <local0.info> 192.168.101.5 04/09/2021:04:14:36 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88068 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show serviceGroup svcg_ntp-udp_53_marigold.local" - Status "Success" 
Apr  9 04:14:37 <local0.info> 192.168.101.5 04/09/2021:04:14:37 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88069 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show gslb service" - Status "Success" 
Apr  9 04:14:37 <local0.info> 192.168.101.5 04/09/2021:04:14:37 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88070 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show ns version" - Status "Success" 
Apr  9 04:14:37 <local0.info> 192.168.101.5 04/09/2021:04:14:37 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88071 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs vserver" - Status "Success" 
Apr  9 04:14:37 <local0.info> 192.168.101.5 04/09/2021:04:14:37 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88072 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs vserver csv_SSL_10.0.0.50_443" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88073 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action CSV_SSL_Simplification_act" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88074 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action ADFS_Proxy_Passive_act" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88075 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action ADFS_Proxy_Internal_act" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88076 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action ADFS_Proxy_NoAuth_act" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88077 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs vserver csv_HTTP_10.0.0.50_80" - Status "Success" 
Apr  9 04:14:38 <local0.info> 192.168.101.5 04/09/2021:04:14:38 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88078 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action POST-To-GET-Test_act" - Status "Success" 
Apr  9 04:14:39 <local0.info> 192.168.101.5 04/09/2021:04:14:39 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88079 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cs action CSV_HTTP_Simplification_act" - Status "Success" 
Apr  9 04:14:39 <local0.info> 192.168.101.5 04/09/2021:04:14:39 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88080 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show gslb vserver" - Status "Success" 
Apr  9 04:14:39 <local0.info> 192.168.101.5 04/09/2021:04:14:39 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88081 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show gslb serviceGroup" - Status "Success" 
Apr  9 04:14:39 <local0.info> 192.168.101.5 04/09/2021:04:14:39 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88082 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show gslb domain" - Status "Success" 
Apr  9 04:14:39 <local0.info> 192.168.101.5 04/09/2021:04:14:39 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88083 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show authentication vserver" - Status "Success" 
Apr  9 04:14:40 <local0.info> 192.168.101.5 04/09/2021:04:14:40 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88084 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show vpn vserver" - Status "Success" 
Apr  9 04:14:40 <local0.info> 192.168.101.5 04/09/2021:04:14:40 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88085 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "show cr vserver" - Status "Success" 
Apr  9 04:14:43 <local0.info> 192.168.101.5 04/09/2021:04:14:43 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76196 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default AAA Message 88086 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x2, otp=<0>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default AAA Message 88088 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<1> max attempts=<3>, lock duration=<1>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-1 : default AAA Message 76198 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x2, otp=<0>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-1 : default AAA Message 76200 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<1> max attempts=<3>, lock duration=<1>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-1 : default AAA Message 76202 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x6, otp=<0>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default AAA Message 88091 0 :  "AAA LOGIN DHT: updating entry for user: <nsroot>, flags=0x6, otp=<0>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-1 : default AAA Message 76203 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<0> max attempts=<0>, lock duration=<1>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default AAA Message 88092 0 :  "AAA LOGIN DHT: updated entry for user: <nsroot>, flags=0x0, cur attempts=<0> max attempts=<0>, lock duration=<1>" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 88094 0 :  User nsroot - Remote_ip  - Command "login nsroot "********"" - Status "Success" 
Apr  9 04:14:47 <local0.info> 192.168.101.5 04/09/2021:04:14:47 GMT VPX-13 0-PPE-0 : default CLI CMD_EXECUTED 88095 0 :  User nsroot - Remote_ip  - Command "sftp-server" - Status "Success" 
Apr  9 04:14:57 <local0.info> 192.168.101.5 04/09/2021:04:14:57 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76205 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:15:01 <local0.info> 192.168.101.5 04/09/2021:04:15:01 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 88098 0 :  Monitor DBSMonServiceBinding_www.googleapis.com:443_(tcp-default)(vpndbssvc_-2094132841) - State UP 
